title,registration_year,registration_date,current_status,objective,commission_answer,initiative_url,signatures_collected_by_country,signatures_countries_threshold_met_count,signatures_collected,funding_total,timeline_collection_closed,timeline_collection_start,legislation
Right2Water,2012,01/01/2012,Commission Engaged,"Implement the human right to water and sanitation as recognised by the United Nations, and promote the provision of water and sanitation as essential public services for all.","The Commission adopted a Communication responding to the Right2Water initiative, committing to assess and reinforce implementation of EU water legislation and to ensure universal access to safe drinking water. It also launched a public consultation on the Drinking Water Directive.",https://citizens-initiative.europa.eu/initiatives/right2water_en,"{""Austria"": {""statements_of_support"": ""39,695"", ""threshold"": ""14,250"", ""percentage"": ""278.56%""}, ""Belgium"": {""statements_of_support"": ""41,700"", ""threshold"": ""16,500"", ""percentage"": ""252.73%""}, ""Bulgaria"": {""statements_of_support"": ""32,413"", ""threshold"": ""13,500"", ""percentage"": ""240.10%""}, ""Croatia"": {""statements_of_support"": ""4,959"", ""threshold"": ""8,250"", ""percentage"": ""60.11%""}, ""Cyprus"": {""statements_of_support"": ""2,907"", ""threshold"": ""4,500"", ""percentage"": ""64.60%""}, ""Czechia"": {""statements_of_support"": ""20,389"", ""threshold"": ""16,500"", ""percentage"": ""123.57%""}, ""Denmark"": {""statements_of_support"": ""7,659"", ""threshold"": ""9,750"", ""percentage"": ""78.55%""}, ""Finland"": {""statements_of_support"": ""1,109"", ""threshold"": ""9,750"", ""percentage"": ""11.37%""}, ""France"": {""statements_of_support"": ""281,397"", ""threshold"": ""55,500"", ""percentage"": ""507.02%""}, ""Germany"": {""statements_of_support"": ""380,455"", ""threshold"": ""74,250"", ""percentage"": ""512.40%""}, ""Greece"": {""statements_of_support"": ""56,874"", ""threshold"": ""16,500"", ""percentage"": ""344.69%""}, ""Hungary"": {""statements_of_support"": ""40,318"", ""threshold"": ""16,500"", ""percentage"": ""244.35%""}, ""Ireland"": {""statements_of_support"": ""2,180"", ""threshold"": ""9,000"", ""percentage"": ""24.22%""}, ""Italy"": {""statements_of_support"": ""198,948"", ""threshold"": ""54,750"", ""percentage"": ""363.38%""}, ""Latvia"": {""statements_of_support"": ""4,632"", ""threshold"": ""6,750"", ""percentage"": ""68.62%""}, ""Lithuania"": {""statements_of_support"": ""19,363"", ""threshold"": ""9,000"", ""percentage"": ""215.14%""}, ""Luxembourg"": {""statements_of_support"": ""333*"", ""threshold"": ""4,500"", ""percentage"": ""7.40%""}, ""Netherlands"": {""statements_of_support"": ""84,801"", ""threshold"": ""19,500"", ""percentage"": ""434.88%""}, ""Poland"": {""statements_of_support"": ""177,747"", ""threshold"": ""38,250"", ""percentage"": ""464.70%""}, ""Portugal"": {""statements_of_support"": ""74,409"", ""threshold"": ""16,500"", ""percentage"": ""450.96%""}, ""Romania"": {""statements_of_support"": ""59,408"", ""threshold"": ""24,750"", ""percentage"": ""240.03%""}, ""Slovakia"": {""statements_of_support"": ""8,878"", ""threshold"": ""9,750"", ""percentage"": ""91.06%""}, ""Slovenia"": {""statements_of_support"": ""763"", ""threshold"": ""6,000"", ""percentage"": ""12.72%""}, ""Spain"": {""statements_of_support"": ""146,039"", ""threshold"": ""40,500"", ""percentage"": ""360.59%""}, ""Sweden"": {""statements_of_support"": ""23,425"", ""threshold"": ""15,000"", ""percentage"": ""156.17%""}, ""United Kingdom"": {""statements_of_support"": ""173,989"", ""threshold"": ""54,750"", ""percentage"": ""317.79%""}}",13.0,1884790.0,"12,980.15",25/06/2013,25/06/2012,
Stop Vivisection,2012,01/01/2012,Rejected Legislation,Abrogate Directive 2010/63/EU on the protection of animals used for scientific purposes and re-direct EU research towards human-biology-based sciences.,"The Commission, while acknowledging public concern over animal testing, concluded that an immediate abrogation of Directive 2010/63/EU would be counterproductive. It committed to further implementation of the 3Rs principle (Replace, Reduce, Refine) and to promoting the development of alternative methods.",https://citizens-initiative.europa.eu/initiatives/stop-vivisection_en,"{""Austria"": {""statements_of_support"": ""25,018"", ""threshold"": ""14,250"", ""percentage"": ""175.56%""}, ""Belgium"": {""statements_of_support"": ""3,557"", ""threshold"": ""16,500"", ""percentage"": ""21.56%""}, ""Bulgaria"": {""statements_of_support"": ""189*"", ""threshold"": ""13,500"", ""percentage"": ""1.40%""}, ""Croatia"": {""statements_of_support"": ""329"", ""threshold"": ""8,250"", ""percentage"": ""3.99%""}, ""Cyprus"": {""statements_of_support"": ""175"", ""threshold"": ""4,500"", ""percentage"": ""3.89%""}, ""Czechia"": {""statements_of_support"": ""11,777"", ""threshold"": ""16,500"", ""percentage"": ""71.38%""}, ""Denmark"": {""statements_of_support"": ""92,383"", ""threshold"": ""9,750"", ""percentage"": ""947.52%""}, ""Estonia"": {""statements_of_support"": ""6,115"", ""threshold"": ""4,500"", ""percentage"": ""135.89%""}, ""Finland"": {""statements_of_support"": ""102,275"", ""threshold"": ""9,750"", ""percentage"": ""1048.97%""}, ""France"": {""statements_of_support"": ""125,219"", ""threshold"": ""55,500"", ""percentage"": ""225.62%""}, ""Germany"": {""statements_of_support"": ""204,007"", ""threshold"": ""74,250"", ""percentage"": ""274.76%""}, ""Greece"": {""statements_of_support"": ""1,154"", ""threshold"": ""16,500"", ""percentage"": ""6.99%""}, ""Hungary"": {""statements_of_support"": ""7,946"", ""threshold"": ""16,500"", ""percentage"": ""48.16%""}, ""Ireland"": {""statements_of_support"": ""12,304"", ""threshold"": ""9,000"", ""percentage"": ""136.71%""}, ""Italy"": {""statements_of_support"": ""72,469"", ""threshold"": ""54,750"", ""percentage"": ""132.36%""}, ""Latvia"": {""statements_of_support"": ""424"", ""threshold"": ""6,750"", ""percentage"": ""6.28%""}, ""Lithuania"": {""statements_of_support"": ""22,065"", ""threshold"": ""9,000"", ""percentage"": ""245.17%""}, ""Luxembourg"": {""statements_of_support"": ""1"", ""threshold"": ""4,500"", ""percentage"": ""0.02%""}, ""Netherlands"": {""statements_of_support"": ""27,438"", ""threshold"": ""19,500"", ""percentage"": ""140.71%""}, ""Poland"": {""statements_of_support"": ""111,372"", ""threshold"": ""38,250"", ""percentage"": ""291.17%""}, ""Portugal"": {""statements_of_support"": ""13,617"", ""threshold"": ""16,500"", ""percentage"": ""82.53%""}, ""Romania"": {""statements_of_support"": ""38,324"", ""threshold"": ""24,750"", ""percentage"": ""154.84%""}, ""Slovakia"": {""statements_of_support"": ""12,609"", ""threshold"": ""9,750"", ""percentage"": ""129.32%""}, ""Slovenia"": {""statements_of_support"": ""1"", ""threshold"": ""6,000"", ""percentage"": ""0.02%""}, ""Spain"": {""statements_of_support"": ""121,183"", ""threshold"": ""40,500"", ""percentage"": ""299.22%""}, ""Sweden"": {""statements_of_support"": ""27,266"", ""threshold"": ""15,000"", ""percentage"": ""181.77%""}, ""United Kingdom"": {""statements_of_support"": ""133,913"", ""threshold"": ""54,750"", ""percentage"": ""244.59%""}}",11.0,1173130.0,"107,917.94",,,
Single Communication Tariff Act,2012,01/01/2012,Collection Unsuccessful,"Introduce a single, affordable EU-wide tariff for cross-border mobile and internet communications to eliminate roaming charges across member states.",,https://citizens-initiative.europa.eu/initiatives/single-communication-tariff_en,"{""France"": {""statements_of_support"": ""24,378"", ""threshold"": ""55,500"", ""percentage"": ""43.92%""}, ""Germany"": {""statements_of_support"": ""53,086"", ""threshold"": ""74,250"", ""percentage"": ""71.50%""}, ""Italy"": {""statements_of_support"": ""52,847"", ""threshold"": ""54,750"", ""percentage"": ""96.52%""}, ""Poland"": {""statements_of_support"": ""24,717"", ""threshold"": ""38,250"", ""percentage"": ""64.62%""}, ""United Kingdom"": {""statements_of_support"": ""80,972"", ""threshold"": ""54,750"", ""percentage"": ""147.89%""}}",3.0,236000.0,"325,139.05",03/10/2012,01/01/2012,
Minority SafePack,2013,01/01/2013,Rejected Legislation,Adopt a set of legal acts to improve the protection of persons belonging to national and linguistic minorities and strengthen cultural and linguistic diversity in the EU.,The Commission acknowledged the importance of minority rights but concluded that the proposed measures exceeded its legislative competence in several areas. It committed to monitoring compliance with fundamental rights standards in member states and to supporting minority languages through existing funding programmes.,https://citizens-initiative.europa.eu/initiatives/minority-safepack_en,"{""Austria"": {""statements_of_support"": ""26,829"", ""threshold"": ""14,250"", ""percentage"": ""188.27%""}, ""Belgium"": {""statements_of_support"": ""39,581"", ""threshold"": ""16,500"", ""percentage"": ""239.88%""}, ""Bulgaria"": {""statements_of_support"": ""3,297*"", ""threshold"": ""13,500"", ""percentage"": ""24.42%""}, ""Croatia"": {""statements_of_support"": ""3,187"", ""threshold"": ""8,250"", ""percentage"": ""38.63%""}, ""Cyprus"": {""statements_of_support"": ""24"", ""threshold"": ""4,500"", ""percentage"": ""0.53%""}, ""Czechia"": {""statements_of_support"": ""37,706"", ""threshold"": ""16,500"", ""percentage"": ""228.52%""}, ""Denmark"": {""statements_of_support"": ""9"", ""threshold"": ""9,750"", ""percentage"": ""0.09%""}, ""Estonia"": {""statements_of_support"": ""294"", ""threshold"": ""4,500"", ""percentage"": ""6.53%""}, ""Finland"": {""statements_of_support"": ""323"", ""threshold"": ""9,750"", ""percentage"": ""3.31%""}, ""France"": {""statements_of_support"": ""131,802"", ""threshold"": ""55,500"", ""percentage"": ""237.48%""}, ""Germany"": {""statements_of_support"": ""230,264"", ""threshold"": ""74,250"", ""percentage"": ""310.12%""}, ""Greece"": {""statements_of_support"": ""4,846"", ""threshold"": ""16,500"", ""percentage"": ""29.37%""}, ""Hungary"": {""statements_of_support"": ""3,850*"", ""threshold"": ""16,500"", ""percentage"": ""23.33%""}, ""Ireland"": {""statements_of_support"": ""70,229"", ""threshold"": ""9,000"", ""percentage"": ""780.32%""}, ""Italy"": {""statements_of_support"": ""209,002"", ""threshold"": ""54,750"", ""percentage"": ""381.74%""}, ""Netherlands"": {""statements_of_support"": ""1,426"", ""threshold"": ""19,500"", ""percentage"": ""7.31%""}, ""Poland"": {""statements_of_support"": ""93,063"", ""threshold"": ""38,250"", ""percentage"": ""243.30%""}, ""Portugal"": {""statements_of_support"": ""2,852"", ""threshold"": ""16,500"", ""percentage"": ""17.28%""}, ""Romania"": {""statements_of_support"": ""47,321"", ""threshold"": ""24,750"", ""percentage"": ""191.20%""}, ""Slovakia"": {""statements_of_support"": ""12,382"", ""threshold"": ""9,750"", ""percentage"": ""126.99%""}, ""Slovenia"": {""statements_of_support"": ""12,440"", ""threshold"": ""6,000"", ""percentage"": ""207.33%""}, ""Spain"": {""statements_of_support"": ""119,375"", ""threshold"": ""40,500"", ""percentage"": ""294.75%""}, ""Sweden"": {""statements_of_support"": ""93,778"", ""threshold"": ""15,000"", ""percentage"": ""625.19%""}, ""United Kingdom"": {""statements_of_support"": ""71,261"", ""threshold"": ""54,750"", ""percentage"": ""130.16%""}}",12.0,1215141.0,"42,643.70",25/11/2013,01/01/2013,
Let Me Vote,2013,01/01/2013,Collection Unsuccessful,"Allow EU citizens to vote in all elections in their member state of residence, removing restrictions on electoral participation for non-national EU residents.",,https://citizens-initiative.europa.eu/initiatives/let-me-vote_en,"{""Austria"": {""statements_of_support"": ""8,572"", ""threshold"": ""14,250"", ""percentage"": ""60.15%""}, ""Denmark"": {""statements_of_support"": ""16,444"", ""threshold"": ""9,750"", ""percentage"": ""168.66%""}, ""France"": {""statements_of_support"": ""14,314"", ""threshold"": ""55,500"", ""percentage"": ""25.79%""}, ""Germany"": {""statements_of_support"": ""29,424"", ""threshold"": ""74,250"", ""percentage"": ""39.63%""}, ""United Kingdom"": {""statements_of_support"": ""17,246"", ""threshold"": ""54,750"", ""percentage"": ""31.50%""}}",2.0,86000.0,"15,272.87",29/06/2014,29/06/2013,
New Deal for Europe,2013,01/01/2013,Collection Unsuccessful,Launch a European plan for sustainable development and quality employment financed by a tax on financial transactions to combat austerity and unemployment across member states.,,https://citizens-initiative.europa.eu/initiatives/new-deal-for-europe_en,"{""Austria"": {""statements_of_support"": ""3,661"", ""threshold"": ""14,250"", ""percentage"": ""25.69%""}, ""Belgium"": {""statements_of_support"": ""261"", ""threshold"": ""16,500"", ""percentage"": ""1.58%""}, ""Bulgaria"": {""statements_of_support"": ""1,488*"", ""threshold"": ""13,500"", ""percentage"": ""11.02%""}, ""Croatia"": {""statements_of_support"": ""1,768"", ""threshold"": ""8,250"", ""percentage"": ""21.43%""}, ""Czechia"": {""statements_of_support"": ""11,902"", ""threshold"": ""16,500"", ""percentage"": ""72.13%""}, ""Denmark"": {""statements_of_support"": ""5,217"", ""threshold"": ""9,750"", ""percentage"": ""53.51%""}, ""Finland"": {""statements_of_support"": ""17,422"", ""threshold"": ""9,750"", ""percentage"": ""178.69%""}, ""France"": {""statements_of_support"": ""57,522"", ""threshold"": ""55,500"", ""percentage"": ""103.64%""}, ""Germany"": {""statements_of_support"": ""58,455"", ""threshold"": ""74,250"", ""percentage"": ""78.73%""}, ""Greece"": {""statements_of_support"": ""369"", ""threshold"": ""16,500"", ""percentage"": ""2.24%""}, ""Hungary"": {""statements_of_support"": ""5,124"", ""threshold"": ""16,500"", ""percentage"": ""31.05%""}, ""Ireland"": {""statements_of_support"": ""5"", ""threshold"": ""9,000"", ""percentage"": ""0.06%""}, ""Italy"": {""statements_of_support"": ""31,370"", ""threshold"": ""54,750"", ""percentage"": ""57.30%""}, ""Latvia"": {""statements_of_support"": ""765"", ""threshold"": ""6,750"", ""percentage"": ""11.33%""}, ""Lithuania"": {""statements_of_support"": ""2,061"", ""threshold"": ""9,000"", ""percentage"": ""22.90%""}, ""Luxembourg"": {""statements_of_support"": ""1,953"", ""threshold"": ""4,500"", ""percentage"": ""43.40%""}, ""Netherlands"": {""statements_of_support"": ""16,677"", ""threshold"": ""19,500"", ""percentage"": ""85.52%""}, ""Poland"": {""statements_of_support"": ""7,196"", ""threshold"": ""38,250"", ""percentage"": ""18.81%""}, ""Portugal"": {""statements_of_support"": ""10,919"", ""threshold"": ""16,500"", ""percentage"": ""66.18%""}, ""Romania"": {""statements_of_support"": ""6,928"", ""threshold"": ""24,750"", ""percentage"": ""27.99%""}, ""Slovakia"": {""statements_of_support"": ""1,078"", ""threshold"": ""9,750"", ""percentage"": ""11.06%""}, ""Slovenia"": {""statements_of_support"": ""1*"", ""threshold"": ""6,000"", ""percentage"": ""0.02%""}, ""Spain"": {""statements_of_support"": ""17,761"", ""threshold"": ""40,500"", ""percentage"": ""43.85%""}, ""Sweden"": {""statements_of_support"": ""30,417"", ""threshold"": ""15,000"", ""percentage"": ""202.78%""}, ""United Kingdom"": {""statements_of_support"": ""21,680"", ""threshold"": ""54,750"", ""percentage"": ""39.60%""}}",4.0,312000.0,"243,065.18",26/10/2014,26/10/2013,
Stop TTIP,2014,01/01/2014,Withdrawn,"Request the Council to repeal the negotiating mandate for TTIP and not to conclude CETA, due to concerns over regulatory standards, investor-state dispute settlement, and democratic accountability.",,https://citizens-initiative.europa.eu/initiatives/stop-ttip_en,"{""Austria"": {""statements_of_support"": ""4,609"", ""threshold"": ""14,250"", ""percentage"": ""32.34%""}, ""Belgium"": {""statements_of_support"": ""39,004"", ""threshold"": ""16,500"", ""percentage"": ""236.39%""}, ""Bulgaria"": {""statements_of_support"": ""66,407"", ""threshold"": ""13,500"", ""percentage"": ""491.90%""}, ""Croatia"": {""statements_of_support"": ""26,454"", ""threshold"": ""8,250"", ""percentage"": ""320.65%""}, ""Cyprus"": {""statements_of_support"": ""1"", ""threshold"": ""4,500"", ""percentage"": ""0.02%""}, ""Czechia"": {""statements_of_support"": ""42,488"", ""threshold"": ""16,500"", ""percentage"": ""257.50%""}, ""Denmark"": {""statements_of_support"": ""34,584"", ""threshold"": ""9,750"", ""percentage"": ""354.71%""}, ""Estonia"": {""statements_of_support"": ""28,710"", ""threshold"": ""4,500"", ""percentage"": ""638.00%""}, ""Finland"": {""statements_of_support"": ""8,641"", ""threshold"": ""9,750"", ""percentage"": ""88.63%""}, ""France"": {""statements_of_support"": ""433,441"", ""threshold"": ""55,500"", ""percentage"": ""780.97%""}, ""Germany"": {""statements_of_support"": ""531,635"", ""threshold"": ""74,250"", ""percentage"": ""716.01%""}, ""Greece"": {""statements_of_support"": ""67,470"", ""threshold"": ""16,500"", ""percentage"": ""408.91%""}, ""Hungary"": {""statements_of_support"": ""16,017"", ""threshold"": ""16,500"", ""percentage"": ""97.07%""}, ""Ireland"": {""statements_of_support"": ""23,221"", ""threshold"": ""9,000"", ""percentage"": ""258.01%""}, ""Italy"": {""statements_of_support"": ""451,197"", ""threshold"": ""54,750"", ""percentage"": ""824.10%""}, ""Latvia"": {""statements_of_support"": ""13,354"", ""threshold"": ""6,750"", ""percentage"": ""197.84%""}, ""Lithuania"": {""statements_of_support"": ""1,048"", ""threshold"": ""9,000"", ""percentage"": ""11.64%""}, ""Malta"": {""statements_of_support"": ""12"", ""threshold"": ""4,500"", ""percentage"": ""0.27%""}, ""Netherlands"": {""statements_of_support"": ""124,274"", ""threshold"": ""19,500"", ""percentage"": ""637.30%""}, ""Poland"": {""statements_of_support"": ""317,989"", ""threshold"": ""38,250"", ""percentage"": ""831.34%""}, ""Portugal"": {""statements_of_support"": ""47,259"", ""threshold"": ""16,500"", ""percentage"": ""286.42%""}, ""Romania"": {""statements_of_support"": ""130,898"", ""threshold"": ""24,750"", ""percentage"": ""528.88%""}, ""Slovakia"": {""statements_of_support"": ""86,946"", ""threshold"": ""9,750"", ""percentage"": ""891.75%""}, ""Slovenia"": {""statements_of_support"": ""852"", ""threshold"": ""6,000"", ""percentage"": ""14.20%""}, ""Spain"": {""statements_of_support"": ""308,826"", ""threshold"": ""40,500"", ""percentage"": ""762.53%""}, ""Sweden"": {""statements_of_support"": ""103,438"", ""threshold"": ""15,000"", ""percentage"": ""689.59%""}, ""United Kingdom"": {""statements_of_support"": ""375,514"", ""threshold"": ""54,750"", ""percentage"": ""685.87%""}}",23.0,3284289.0,0.00,24/11/2014,01/01/2014,
One of Us — Embryo Protection,2014,01/01/2014,Rejected Legislation,"Prohibit the EU from financing activities which presuppose the destruction of human embryos, in particular in the areas of research, development aid and public health.","The Commission concluded that the existing legal framework governing EU funding in the areas of research, development aid and public health already contains adequate safeguards. It did not consider it appropriate to amend the relevant regulations as requested.",https://citizens-initiative.europa.eu/initiatives/one-of-us-embryo_en,"{""Austria"": {""statements_of_support"": ""33,120"", ""threshold"": ""14,250"", ""percentage"": ""232.42%""}, ""Belgium"": {""statements_of_support"": ""2,931"", ""threshold"": ""16,500"", ""percentage"": ""17.76%""}, ""Bulgaria"": {""statements_of_support"": ""14,109"", ""threshold"": ""13,500"", ""percentage"": ""104.51%""}, ""Croatia"": {""statements_of_support"": ""20,778"", ""threshold"": ""8,250"", ""percentage"": ""251.85%""}, ""Cyprus"": {""statements_of_support"": ""4,039"", ""threshold"": ""4,500"", ""percentage"": ""89.76%""}, ""Czechia"": {""statements_of_support"": ""15,362"", ""threshold"": ""16,500"", ""percentage"": ""93.10%""}, ""Denmark"": {""statements_of_support"": ""15,210"", ""threshold"": ""9,750"", ""percentage"": ""156.00%""}, ""Finland"": {""statements_of_support"": ""42,651"", ""threshold"": ""9,750"", ""percentage"": ""437.45%""}, ""France"": {""statements_of_support"": ""191,293"", ""threshold"": ""55,500"", ""percentage"": ""344.67%""}, ""Germany"": {""statements_of_support"": ""312,946"", ""threshold"": ""74,250"", ""percentage"": ""421.48%""}, ""Greece"": {""statements_of_support"": ""4,829"", ""threshold"": ""16,500"", ""percentage"": ""29.27%""}, ""Hungary"": {""statements_of_support"": ""14,451"", ""threshold"": ""16,500"", ""percentage"": ""87.58%""}, ""Ireland"": {""statements_of_support"": ""7,590"", ""threshold"": ""9,000"", ""percentage"": ""84.33%""}, ""Italy"": {""statements_of_support"": ""331,388"", ""threshold"": ""54,750"", ""percentage"": ""605.27%""}, ""Latvia"": {""statements_of_support"": ""66*"", ""threshold"": ""6,750"", ""percentage"": ""0.98%""}, ""Lithuania"": {""statements_of_support"": ""16,820"", ""threshold"": ""9,000"", ""percentage"": ""186.89%""}, ""Malta"": {""statements_of_support"": ""4"", ""threshold"": ""4,500"", ""percentage"": ""0.09%""}, ""Netherlands"": {""statements_of_support"": ""53,306"", ""threshold"": ""19,500"", ""percentage"": ""273.36%""}, ""Poland"": {""statements_of_support"": ""160,505"", ""threshold"": ""38,250"", ""percentage"": ""419.62%""}, ""Portugal"": {""statements_of_support"": ""56,476"", ""threshold"": ""16,500"", ""percentage"": ""342.28%""}, ""Romania"": {""statements_of_support"": ""59,648"", ""threshold"": ""24,750"", ""percentage"": ""241.00%""}, ""Slovakia"": {""statements_of_support"": ""8,948"", ""threshold"": ""9,750"", ""percentage"": ""91.77%""}, ""Slovenia"": {""statements_of_support"": ""8"", ""threshold"": ""6,000"", ""percentage"": ""0.13%""}, ""Spain"": {""statements_of_support"": ""140,304"", ""threshold"": ""40,500"", ""percentage"": ""346.43%""}, ""Sweden"": {""statements_of_support"": ""29,925"", ""threshold"": ""15,000"", ""percentage"": ""199.50%""}, ""United Kingdom"": {""statements_of_support"": ""360,881"", ""threshold"": ""54,750"", ""percentage"": ""659.14%""}}",18.0,1897588.0,"312,294.65",17/12/2014,01/01/2014,
Unconditional Basic Income for Europe,2015,01/01/2015,Collection Unsuccessful,"Explore and promote unconditional basic income as an instrument to improve social security systems across the EU, ensuring every person's material needs are met.",,https://citizens-initiative.europa.eu/initiatives/basic-income-europe_en,"{""Austria"": {""statements_of_support"": ""4,157"", ""threshold"": ""14,250"", ""percentage"": ""29.17%""}, ""Belgium"": {""statements_of_support"": ""457"", ""threshold"": ""16,500"", ""percentage"": ""2.77%""}, ""Bulgaria"": {""statements_of_support"": ""4"", ""threshold"": ""13,500"", ""percentage"": ""0.03%""}, ""Croatia"": {""statements_of_support"": ""784"", ""threshold"": ""8,250"", ""percentage"": ""9.50%""}, ""Czechia"": {""statements_of_support"": ""2,437"", ""threshold"": ""16,500"", ""percentage"": ""14.77%""}, ""Denmark"": {""statements_of_support"": ""1,248"", ""threshold"": ""9,750"", ""percentage"": ""12.80%""}, ""Finland"": {""statements_of_support"": ""3,587"", ""threshold"": ""9,750"", ""percentage"": ""36.79%""}, ""France"": {""statements_of_support"": ""51,890"", ""threshold"": ""55,500"", ""percentage"": ""93.50%""}, ""Germany"": {""statements_of_support"": ""47,706"", ""threshold"": ""74,250"", ""percentage"": ""64.25%""}, ""Greece"": {""statements_of_support"": ""664"", ""threshold"": ""16,500"", ""percentage"": ""4.02%""}, ""Hungary"": {""statements_of_support"": ""4,107"", ""threshold"": ""16,500"", ""percentage"": ""24.89%""}, ""Ireland"": {""statements_of_support"": ""697"", ""threshold"": ""9,000"", ""percentage"": ""7.74%""}, ""Italy"": {""statements_of_support"": ""15,197"", ""threshold"": ""54,750"", ""percentage"": ""27.76%""}, ""Latvia"": {""statements_of_support"": ""85"", ""threshold"": ""6,750"", ""percentage"": ""1.26%""}, ""Lithuania"": {""statements_of_support"": ""6"", ""threshold"": ""9,000"", ""percentage"": ""0.07%""}, ""Netherlands"": {""statements_of_support"": ""7,466"", ""threshold"": ""19,500"", ""percentage"": ""38.29%""}, ""Poland"": {""statements_of_support"": ""38,952"", ""threshold"": ""38,250"", ""percentage"": ""101.84%""}, ""Portugal"": {""statements_of_support"": ""2,467"", ""threshold"": ""16,500"", ""percentage"": ""14.95%""}, ""Romania"": {""statements_of_support"": ""23,723"", ""threshold"": ""24,750"", ""percentage"": ""95.85%""}, ""Slovakia"": {""statements_of_support"": ""5,764*"", ""threshold"": ""9,750"", ""percentage"": ""59.12%""}, ""Slovenia"": {""statements_of_support"": ""5"", ""threshold"": ""6,000"", ""percentage"": ""0.08%""}, ""Spain"": {""statements_of_support"": ""43,744"", ""threshold"": ""40,500"", ""percentage"": ""108.01%""}, ""Sweden"": {""statements_of_support"": ""718"", ""threshold"": ""15,000"", ""percentage"": ""4.79%""}, ""United Kingdom"": {""statements_of_support"": ""29,135"", ""threshold"": ""54,750"", ""percentage"": ""53.21%""}}",5.0,285000.0,"106,591.06",01/10/2016,01/10/2015,
Compulsory Labelling of Meat Products,2015,01/01/2015,Collection Unsuccessful,Require mandatory country-of-origin labelling for all meat and processed meat products sold in the EU to improve consumer transparency and food traceability.,,https://citizens-initiative.europa.eu/initiatives/meat-labelling_en,"{""Belgium"": {""statements_of_support"": ""19,895"", ""threshold"": ""16,500"", ""percentage"": ""120.58%""}, ""Germany"": {""statements_of_support"": ""48,701"", ""threshold"": ""74,250"", ""percentage"": ""65.59%""}, ""Italy"": {""statements_of_support"": ""19,532"", ""threshold"": ""54,750"", ""percentage"": ""35.67%""}, ""Spain"": {""statements_of_support"": ""31,519"", ""threshold"": ""40,500"", ""percentage"": ""77.82%""}, ""United Kingdom"": {""statements_of_support"": ""23,353"", ""threshold"": ""54,750"", ""percentage"": ""42.65%""}}",3.0,143000.0,"388,717.19",09/02/2016,09/02/2015,
