title,primary_policy_area,registration_year,signatures_collected,current_status,objective,commission_answer_text,url,signatures_threshold_met,signatures_collected_by_country
Right2Water,Environment,2012,1884790,Commission Engaged,"Implement the human right to water and sanitation as recognised by the United Nations, and promote the provision of water and sanitation as essential public services for all.","The Commission adopted a Communication responding to the Right2Water initiative, committing to assess and reinforce implementation of EU water legislation and to ensure universal access to safe drinking water. It also launched a public consultation on the Drinking Water Directive.",https://citizens-initiative.europa.eu/initiatives/right2water_en,13,"{""DE"": 440494, ""FR"": 388133, ""IT"": 190655, ""ES"": 21492, ""PL"": 55347, ""RO"": 64700, ""NL"": 29295, ""BE"": 15290, ""GR"": 79942, ""CZ"": 471037, ""PT"": 58187, ""SE"": 11115, ""HU"": 13, ""AT"": 49722, ""BG"": 41, ""DK"": 820, ""IE"": 39, ""HR"": 2244, ""LT"": 6221, ""LV"": 3}"
Stop Vivisection,Animal Welfare,2012,1173130,Rejected Legislation,Abrogate Directive 2010/63/EU on the protection of animals used for scientific purposes and re-direct EU research towards human-biology-based sciences.,"The Commission, while acknowledging public concern over animal testing, concluded that an immediate abrogation of Directive 2010/63/EU would be counterproductive. It committed to further implementation of the 3Rs principle (Replace, Reduce, Refine) and to promoting the development of alternative methods.",https://citizens-initiative.europa.eu/initiatives/stop-vivisection_en,11,"{""DE"": 257771, ""FR"": 291558, ""IT"": 198398, ""ES"": 163823, ""PL"": 91897, ""NL"": 834, ""BE"": 105394, ""CZ"": 15, ""PT"": 2866, ""SE"": 11944, ""AT"": 31910, ""SK"": 1, ""LT"": 16717, ""LV"": 2}"
Single Communication Tariff Act,Digital Affairs,2012,236000,Collection Unsuccessful,"Introduce a single, affordable EU-wide tariff for cross-border mobile and internet communications to eliminate roaming charges across member states.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/single-communication-tariff_en,3,"{""DE"": 22540, ""FR"": 83964, ""ES"": 24505, ""SE"": 75837, ""BG"": 29154}"
Minority SafePack,Human Rights,2013,1215141,Rejected Legislation,Adopt a set of legal acts to improve the protection of persons belonging to national and linguistic minorities and strengthen cultural and linguistic diversity in the EU.,The Commission acknowledged the importance of minority rights but concluded that the proposed measures exceeded its legislative competence in several areas. It committed to monitoring compliance with fundamental rights standards in member states and to supporting minority languages through existing funding programmes.,https://citizens-initiative.europa.eu/initiatives/minority-safepack_en,12,"{""DE"": 100461, ""FR"": 349739, ""IT"": 54798, ""ES"": 16499, ""PL"": 39419, ""RO"": 275307, ""NL"": 19382, ""BE"": 58200, ""GR"": 215, ""CZ"": 36469, ""PT"": 248368, ""AT"": 4046, ""DK"": 11690, ""SK"": 17, ""LT"": 9, ""CY"": 522}"
Let Me Vote,Human Rights,2013,86000,Collection Unsuccessful,"Allow EU citizens to vote in all elections in their member state of residence, removing restrictions on electoral participation for non-national EU residents.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/let-me-vote_en,2,"{""DE"": 15785, ""IT"": 15502, ""PL"": 44876, ""BE"": 5901, ""HR"": 3936}"
New Deal for Europe,Economic Policy,2013,312000,Collection Unsuccessful,Launch a European plan for sustainable development and quality employment financed by a tax on financial transactions to combat austerity and unemployment across member states.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/new-deal-for-europe_en,4,"{""DE"": 23602, ""FR"": 33835, ""IT"": 40265, ""ES"": 2509, ""PL"": 113, ""RO"": 2, ""NL"": 117338, ""BE"": 27808, ""GR"": 2933, ""PT"": 386, ""SE"": 148, ""HU"": 2338, ""FI"": 228, ""IE"": 60495}"
Stop TTIP,Trade,2014,3284289,Withdrawn,"Request the Council to repeal the negotiating mandate for TTIP and not to conclude CETA, due to concerns over regulatory standards, investor-state dispute settlement, and democratic accountability.",The organizers withdrew the initiative after the Commission declined to register it under the ECI procedure. The initiative subsequently gathered signatures outside the official framework. TTIP negotiations were later suspended.,https://citizens-initiative.europa.eu/initiatives/stop-ttip_en,23,"{""DE"": 1523630, ""FR"": 134358, ""IT"": 109715, ""ES"": 743586, ""PL"": 98374, ""RO"": 24743, ""NL"": 3952, ""BE"": 2170, ""GR"": 39236, ""CZ"": 30173, ""PT"": 119750, ""SE"": 44854, ""HU"": 324, ""AT"": 234, ""BG"": 4162, ""DK"": 25640, ""SK"": 126266, ""FI"": 142, ""IE"": 182, ""LT"": 21, ""SI"": 2992, ""LV"": 65663, ""CY"": 162668, ""LU"": 21443, ""MT"": 11}"
One of Us — Embryo Protection,Health,2014,1897588,Rejected Legislation,"Prohibit the EU from financing activities which presuppose the destruction of human embryos, in particular in the areas of research, development aid and public health.","The Commission concluded that the existing legal framework governing EU funding in the areas of research, development aid and public health already contains adequate safeguards. It did not consider it appropriate to amend the relevant regulations as requested.",https://citizens-initiative.europa.eu/initiatives/one-of-us-embryo_en,18,"{""DE"": 22998, ""FR"": 166732, ""IT"": 657167, ""ES"": 20879, ""PL"": 87156, ""RO"": 379448, ""NL"": 558, ""BE"": 188634, ""GR"": 265, ""CZ"": 192461, ""HU"": 74206, ""AT"": 66272, ""BG"": 33983, ""SK"": 450, ""FI"": 3371, ""LT"": 446, ""SI"": 5, ""EE"": 2557}"
Unconditional Basic Income for Europe,Employment,2015,285000,Collection Unsuccessful,"Explore and promote unconditional basic income as an instrument to improve social security systems across the EU, ensuring every person's material needs are met.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/basic-income-europe_en,5,"{""DE"": 120906, ""FR"": 14462, ""IT"": 24307, ""ES"": 87477, ""PL"": 30174, ""RO"": 3881, ""NL"": 3, ""BE"": 9, ""GR"": 1515, ""CZ"": 40, ""SE"": 3, ""HU"": 32, ""BG"": 46, ""DK"": 122, ""FI"": 3, ""IE"": 17, ""LT"": 2002, ""LV"": 1}"
Compulsory Labelling of Meat Products,Consumer Protection,2015,143000,Collection Unsuccessful,Require mandatory country-of-origin labelling for all meat and processed meat products sold in the EU to improve consumer transparency and food traceability.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/meat-labelling_en,3,"{""DE"": 20393, ""FR"": 47189, ""IT"": 55152, ""PL"": 12002, ""PT"": 8264}"
